"x","y","path","block_id","ring","segment"
1,6.12303176911189e-17,1,1,1,1
0.998629534754574,0.052335956242944,2,1,1,1
0.994521895368273,0.104528463267653,3,1,1,1
0.987688340595138,0.156434465040231,4,1,1,1
0.978147600733806,0.207911690817759,5,1,1,1
0.965925826289068,0.258819045102521,6,1,1,1
0.951056516295154,0.309016994374947,7,1,1,1
0.933580426497202,0.3583679495453,8,1,1,1
0.913545457642601,0.4067366430758,9,1,1,1
0.891006524188368,0.453990499739547,10,1,1,1
0.866025403784439,0.5,11,1,1,1
1.29903810567666,0.75,12,1,1,1
1.33650978628255,0.68098574960932,13,1,1,1
1.3703181864639,0.610104964613701,14,1,1,1
1.4003706397458,0.53755192431795,15,1,1,1
1.42658477444273,0.463525491562421,16,1,1,1
1.4488887394336,0.388228567653781,17,1,1,1
1.46722140110071,0.311867536226639,18,1,1,1
1.48153251089271,0.234651697560346,19,1,1,1
1.49178284305241,0.15679269490148,20,1,1,1
1.49794430213186,0.078503934364416,21,1,1,1
1.5,9.18454765366783e-17,22,1,1,1
0.866025403784439,0.5,1,2,1,2
0.838670567945424,0.544639035015027,2,2,1,2
0.809016994374947,0.587785252292473,3,2,1,2
0.777145961456971,0.629320391049838,4,2,1,2
0.743144825477394,0.669130606358858,5,2,1,2
0.707106781186547,0.707106781186548,6,2,1,2
0.669130606358858,0.743144825477394,7,2,1,2
0.629320391049838,0.777145961456971,8,2,1,2
0.587785252292473,0.809016994374947,9,2,1,2
0.544639035015027,0.838670567945424,10,2,1,2
0.5,0.866025403784439,11,2,1,2
0.75,1.29903810567666,12,2,1,2
0.81695855252254,1.25800585191814,13,2,1,2
0.88167787843871,1.21352549156242,14,2,1,2
0.943980586574756,1.16571894218546,15,2,1,2
1.00369590953829,1.11471723821609,16,2,1,2
1.06066017177982,1.06066017177982,17,2,1,2
1.11471723821609,1.00369590953829,18,2,1,2
1.16571894218546,0.943980586574756,19,2,1,2
1.21352549156242,0.88167787843871,20,2,1,2
1.25800585191814,0.816958552522541,21,2,1,2
1.29903810567666,0.75,22,2,1,2
0.5,0.866025403784439,1,3,1,3
0.453990499739547,0.891006524188368,2,3,1,3
0.4067366430758,0.913545457642601,3,3,1,3
0.3583679495453,0.933580426497202,4,3,1,3
0.309016994374947,0.951056516295154,5,3,1,3
0.258819045102521,0.965925826289068,6,3,1,3
